userName,score,content
Jhonatan Algarve,1,verifikasi susah najis
Singgih Agung,1,saya sudah download tapi saya hapus lagi. karena ga bisa masuk aplikasi. minta di aktifkan screen lock. tapi tetep aja ga kebuka aplikasinya. stuck di awal. ga ngerti tolong di jawab min
DASYA CHANNEL,3,kadang berat aplikasinya kebuka
Kholid Frohman,4,Ok
eric bramasta,5,always be the best
Dei 21,5,enak di pakainya ga ribet
Admin,5,keren.. aplikasi sangat terbantu
dewa andik,3,Pembayaran via shoppe kenapa dihapus?
Dhifan Dwi Raziqin,5,"gausah kebanyakan UI/UX nya dibuat secara minimalis aja demi kelancaran saat menggunakan aplikasi atau saat melakukan transaksi, soalnya ga secepat bca mobile"
silva octaviani,5,good job 😍
Ami Fahmi,1,"spam email penawaran bluextracash pas di ajukan di tolak apk gak jelas uninstal saja jangan buang buang data lebih baik pakai DANA , GOPAY dll"
Anis Khairunnisa,5,"Hard complain saya didengar, saya udah nyaman banget pake blu, gamau beralih ke yg lain. Untungnya udah bisa pake lagi😃"
evan lontoh,4,aplikasi kurang responsif
aldi harahap,5,good
Muslih Kateng,5,baik cukup mudah
Eko Setiawan,3,"Tampilan home kurang simple, harusnya Qris, transfer hanya 1 klik, Saldo di portofolio perlu di tampilkan di home atau minimal perpindahan tab lebih simple."
Erora,2,"Makin kesini makin ngelag (berat aplikasinya), padahal pakai blu dari 2021 kendala dari awal sampe sekarang pas buka aplikasi terasa berat banget, padahal buka aplikasi gede lainnya lancar :("
Bima,1,kecewa banget abis transaksi transfer ke bca dri blu by bca ini udh berhasil tapi saldo gak masuk ke penerima
Eriz Eka,1,"Sangat lambat ... dan sering error transfer ... status sudah berhasil, saldo sudah terpotong tapi tidak masuk ke rekening penerima . sangat mengganggu sekali & merugikan sekali ."
Turva Story,4,"Kadang kalau tengah malam suka gak bisa dipakai, atau suka tiba2 gak bisa bayar pake va. Tapi sejauh ini ok"
jatna paisley,4,"Butuh di perbaiki lagi, soalnya aplikadi ini lemot. Mungkin di bagian animasi blu yang berbentuk box di hilangkan saja, karna lumayam berat."
Nur Komariyah,4,"sejauh ini baik² aja gak ada kendala apapun, tapi kenapa ya? setelah di update kalo mau transaksi sambung terputus terus padahal sinyal lancar mohon diperbaiki kak"
Zainal Aqim,2,verifikasi wajahnya ribet
ERBEA WEBird,5,Gokil
Agung Sonjaya,1,"UI BERAT! MAU INPUT VA GAK BISA GARA2 BUG, PAYAH!"
Rais Malik,1,"saya suka pakai blu, tapi lemot nya ini sudah keterlaluan. setiap buka aplikasi harus muter2 dulu. bisa kali keliling ka'bah baru kelar tuh lemot"
Antoni Toni,3,"Oke si apk nya, tapi ko agak lemot. beda ma apk yg lain.tolong diperbaiki lg,"
Mochamad Sabeli salam,5,Ok
vestal ganis ravani,5,bagus bgt 👍
Markus Daur Jangku,5,Sangat bagus
ade hidayat,4,"suruh tambah saldo di blu tapi ,setoran gratis di ATM BCA nya di batasi . trus nambah saldo nya dari mana ? transfer dari BCA juga berbayar sekarang . bisa bisa pindah ke yang lain nih"
akbrfjrrhm14,1,amit amit ih lemot NAJIS . fitur fitur yang gak penting tuh buang aja . gak ke pake ini aplikasi kalau lagi terburu buru . yang ada bikin kesel .
jo Mbi,1,pendaftaran dipersulit saat video call language di matikan
Semmy Zega,1,Kalau bisa dipersulit kenapa harus dipermudah?
Ary Hidayat,3,"Nyoba daftar dan udah masukin no hp yg benar, malah otp nya ga dikirim-kirim"
Nazwa Azahra,5,PUAS BNGET PKOK NYA
juli miss,5,sudah oke bisa nih untuk transfer free nya ditambah kuotanya
adi setyawan,4,saya install aplikasi blue bca di hp yg lain tetapi hp tersebut telah rusak dan tdk bisa diperbaiki... dan saat saya akan instal ulang aplikasi blue bca di hp baru tdk bisa download aplikasinya di play store.. mengapa?
Sah Habsah,2,"Kenapa skrg transfer dari BCA ke Blu malah kena biaya, padahal dulu bebas biaya untuk TF dari BCA ke Blu. Udah gitu Blu cuma gratis setor tunai dari ATM cuma 1x Coba yuk dikasih bebas biaya setor tunai dari ATM, biar lebih gampang dan bisa pake blu terus untuk transaksi."
IVANX SYKES,1,Udah bagus tapi maintenance mulu kalo malm mau tf
Agus Suryanto,1,"sering banget optimalisasi layanan, di saat aplikasi mau di gunakan, bentar bentar update, mending update klu gx lemot, malah makin lemot, tarik tunai di ATM BCA kena biaya, transfer sama BCA juga kadang kena biaya, mending MyBCA, sama m-BCA,"
Arhsinta Kirania,1,Sudah susah susah buat eh malah gagal tolong hapus data saya di aplikasi ini kalau ada yang pakai data saya saya gak bertanggung jawab sepenuh nya
Nishfu Amelia,4,"bagus, cmn buat tf shopepay blm ada ya?"
Fhidia Sari,1,"saat pembukaan rekening online, butuh pencocokan kan di akhir oleh petugas. petugas yg konfirmasi ulang data (via vc) tidak ramah. lebih ramah dari bank sebelah. ini jutek, judes, nada nukik meninggi. setelah sini ganti nada jutek, sana baru santai nadanya. minimal kek lain, ""selamat pagi/siang/sore bapak/ibu. saya xxxx selaku xxxxx akan xxxxx. baik, untuk balabalabalaaaa""."
dimas randika,1,Knapa setiap mau pembayaran virtual account selalu salah padahal sudah benar???
ANDAR SERVIS elektronika,5,mantull
Erna Soraya,5,puas.. tp top up shopeepay ny LG ga ada.. Adain segera y mind..
Fatkhur Rozi,3,Saran untuk opsi setor tunainya agar bisa seperti m-Bca dimana saat ada opsi setor lagi apa ndak jadi g harus minta kode lagi di apk
Akmal Abiyyu,5,lebih banyak diskon setiap bulannya dan eventnya
Farid Djannatin,5,jangan pernah berubah pokoknya 🤟
MLN,5,sangat mudah digunakan.
Hernita Puspita sari,5,sangat mudah dan cepat
Stevy Utep,1,"Kalo gak mau ngasi pinjaman jangan nawarin pinjaman dong.. Nyoba 3x ngajuin pinjaman minimum ditolak, udah mana lemot banget lagi nih aplikasi. Tolong dihapus aja itu menu pinjaman atau saya hapus aplikasi blu ini."
Ilmaa sa,1,jelek bgt ngebug mulu
aji nur fauzan,5,baguss ada peningkatan kecepatan
Victor Vr,5,BCA is the best mantap
S1 Kesmas'22- Fitriana Eka Cahyanti,2,"shopee di app blu hilang, ingin mengisi shopee pay dan membayar shopee later tidak bisa"
Ilham Saputra,5,blu terbaik
M Yusup,2,"harus hp yang sama dengan yang terinstal mbca, tadi nya mau dipisah karena ada 2 hape, gak ada opsi"
Cathy Cyrus,1,"biar kita kasih masuk uang setor tunai ad biaya admin, apk kandala , pabulusu duit"
siti sifah,5,lengkap dan mudah dipahami anak muda dalam menghitung pengeluaran dan pemasukan
Achmad Anas,5,berharap ada fitur investasi tabungan emas digital 😍😍😍
Putri Syifa,3,top up shopee nya suka tiba2 ilang.
Yoga aji Pamungkas,2,"Tolong untuk di perbaiki lagi aplikasi ini,karena saat Login dan saat mau transfer terutama via virtual account sering lemot dan sering gagal padahal sinyal lancar lancar saja"
Moh Dwi Rahmadi,2,Tidak ada fungsi QR untuk pembayaran yg di scan sperti yg lain. Jadi kl ke ind*maret mau bayar pake QR kita yg di scan jadi ga bsa. Tolong ditambahkan dong fiturnyaaa *edit : fungsi QR scan nya pun suliiitt! membuat kita ngantri ditempat belanja karena ga bisa scan.! tolong diperbaiki secepatnya!
dinni afazrin,4,Semoga cepat di acc
Galih sandy kurniawan,1,"susah banget verifikasi wajah ""pastikan handphone tidak bergoyang"" aku harus gimana lagi udah ga goyang pdhl harus pake tripod gitu"
Kang Rusl,5,sangat membantu
Rahman Rifani,3,"aplikasinya bagus. cuman aplikasinya terlalu lemot, susah kalo mau dipake buru"" kadang itu yang bikin males pake aplikasi ini"
afifahtun nisa,3,aplikasi nya gak bisa di bukaaaaaaaaaaa :(
Alpha,4,LAYANAN QRIS TAP NYA BELUM ADA YA DI BLU BCA DIGITAL? DI PERINGAN LAGI LOAD APLIKASINYA. NGGAK ENAK MUTER MUTER GITU PAS LOAD APLIKASI ADUH BLU BLU INI JAMAN DIGITAL BUKAN BATU APALAGI JAMAN MEGALITIKUM
Ibu Prama,1,Ga suka
Ahmad solehudin,3,"Kenapa ga bisa top up shopee pay,,padahal lagi perlu2 nya"
Rama Dhany,5,Mau verifikasi muka susahnya minta ampun gilak
Azriel Al zaidan,5,Mantap
sylvia maulan,1,SUSAH BANGET SIH MAU RESET PASSWORD PENGENALAN WAJAH HARUS POSISI KAYAK GIMANA KEDITEKSI
ANDRIAN RAPON,5,Screenlock?
Syafriadi Pridol,5,Bagus.. sama seperti bank laninya. Membuat banknya mudah tanpa ribet.
Ricky Dzuanda Alkurnia,5,sukses terus buat Blu
bambang sugiarto,5,Oke
Kevin Herlavetin,3,Kenapa ecommerce shopee gaada?
Arif cahyanto Akhmad,3,Bagaimana Cara membuka akun blu yang keblokir salah pasword?
Ninja Konoha,5,Bagus dan sangat membantu
Kiki Radinata,3,Knp g bsa d bka pdhl Masi ada uang nya
Queen Irmawan,4,"Sebenernya aplikasinya bagus.. Tapi waktu mau login, transaksi masih delay yg lumayan lama nunggunya, jadi agak makan waktu. Semoga ada perbaikan yg sat set kayak aplikasi sebelah ya min"
ALVIE SJ,2,tambah update tambah update kenapa masuk nya susah amat yah jadi susah gini pakai blu sekarang
Rain,5,aman
Erika Oktaviani,4,"sewaktu Videocall untuk verifikasi buat akun baru, cs nya ga ramah sama sekali 😭 agak kaget untuk ukuran BCA, kok saya dapet service sebegitunya. but okay, karena aplikasinya juara sih 👍🏻"
Yahya Ade putra,5,Sangat cocok
Syaiful adnan,5,mantap. simple. bermanfaat
Aris Kristiawan,5,BCA mobile n BCA blu sama g c??
Om Kontul,3,"Contoh sea b*ank dong,simple dan ringan.aplikasi perbankan harus satset,smoga bisa ditingkatkan lagi."
I Made Putra Wirabuana,5,praktis dan ekonomis
Nurinsani Alfisyah,5,"penggunaan sangat mudah, Blu memberikan pengalaman menabung yang luar biasaa"
Bayu Lesmana,1,"Loading aplikasi lemot setelah update, update malah bikin aplikasi kaya g jalan, mesti pindah2 jaringan internet baru bisa login"
Rahmat Widodo Widodo,5,Cepat dan mudah
Difa Fadhlilah,1,"lemot parah, buka aplikasi nya aja kadang bisa kadang engga, heran"
Zidan 78,4,"saya masih harus banyak belajar lg aplikasi2 d Blu ini, tp keseluruhan cukup membantu saya untuk Bertransaksi d segala hal"
Si imut rich,5,nyaman pke Blu
ALDI JR,5,nunggu aktivasi akunnya dulu...kira2 berapa jam/hari
Farika Amalia,3,Tolong lah blu bca ini kenapa harus shopeepay dihapus lagi padahal kan lebih enak klo ada shopee tolong ya
Willyi Hezzel,5,"semakin update semakin smooth, tapi belum sat set min. masih kadang lama loadingnya di kondisi jaringan bagus."
hamonangan umi,5,good
Donikusuma Doni,1,Sudah download malah lelet jadi saya hapus
Syafri Yusni,5,keren nih
Raise P,1,"Kecewa,sulit padahal nasabah BCA udh lama"
Ega SA,1,Ngeduitin niat mau mabung di BLU tapi dari BCA ke BLU segala pake admin
Tono Tono,1,Mohon di perbaiki kalau kalau transfer dan cek nomor rekening kenapa tidak ada atas namanya jadi mau transfer nggak jadi takut keliru nggak ada atas namanya
Santi Indah,1,Tf ke sesama bca masa iya bayar
dedi rofei,1,"Hallo kak,,hari ini knapa blu ku gak bisa di aktivkan,,"
Reka. Vicii,5,Kenapa akun saya logout sndri mau masuk akun tidak bisa Dan buka aplikasi langsung masuk pendaftaran baru
Sean Kristo,3,tolong di perbaiki agar aplikasi blu tidak lemot.
Jeremiah,1,"Ini ko gabisa top up e money shopee pay?? Pas mau top up tertulis ""yahh putus... Beri kami waktu buat sambungan lagi ya"" padahal sudah 5 hari ini masih erorr kel gini. Tolong diperbaiki"
Rambo,5,untuk saat ini blm ada kendala
Cokorda Gde Agung Sadu Wira Yudistira,1,"Bukan salah hp kalian, tapi memang aplikasinya yang sangat tidak optimal :("
Redmi Handphone,1,Daftar harus vc dengan customer service ini menurut aku tidak efisien tidak seperti BNI dan mandiri tanpa vc dan kartupun mudah dibuat
Afrillies Rahisa,2,Kok ga bisa di buka ya app nya cuma stuck di logo doang
Arsen Dewi,4,tingkatkan saat login agak lemot☺️
Aditiya Tomi,1,"Buat transaksi qris selalu gagal, mending di hapus aja"
Cara mbp,2,"Blu BCA itu bank ternama, namun sangat disayangkan Penggunanya masih sedikit Dikarenanak aplikasinya sangat berat, harus ram 4gb keatas, ram 3gb kebawah lambatnya minta ampun"
Nunug 456,1,"sudah seminggu dicek berkala, masih ga bisa topup ewallet shopee pay, kalo via virtual account cuma 5kali gratis topup shopeenya, kalo ewallet kan bisa sampe 10x"
Shapola Pola,5,Bagus ber manfaat
Muhammad Idham Firdaus,4,"Fitur yang tersedia sudah bagus. Mungkin untuk ukuran aplikasinya dapat diperkecil lagi, karena aplikasi blu ini cukup banyak menggunakan data memori hp sehingga agak lelet jika dioperasikan"
bangrils gaming,4,Tolong untuk fitur topup dana di beri nama penerima banyak sekalih orang orang yang salah kirim karena tidak ada nama penerima
Diky HS,5,oke the best
Nur Aini,4,bagus banget tpi sayang aplikasi nya agak ngelag
MUHAMAD SAEPUL PURKON,5,$rekomendasi bagus
Tyo Nugroho,2,"Sangat membantu untuk transaksi lainnya,tapi loding saat buka aplikasi lemot sekali"
Pitulungan Gusti,5,"Sangat Memuaskan, kita Wajib untuk Memilikinya"
teguh sumarsono,1,Kenapa saya tidak dapat menggunakannya lagi
Arthur Conan Flizt,5,"Sudah bagus sejauh ini, tingkatkan lagi benefit untuk penggunanya"
dela Ramdaningsih,5,"BLU , kalau bisa tampilannya di buat senyaman mungkin deh , kya BCA biasanya. Ini kebnyakan HighLight"
Halimi Bin kosim,5,Sangat membantu sekali
Muhammad Alfian,1,Ini gimana si udh 20 mnit gk ada kirim kode verifikasi sistem nya kuno bgt sumpah
yuni dima,5,"sangat direkomendasikan buat kamu yang butuh rekening tanpa biaya bulanan, dan biaya lain2nya. simple dan mudah digunakan."
Adya Rahma,5,Sangat mempermudah segala pembayaran dan pembelian
Alternatif Pbl,5,Sekarang bayar shopee lewat blu bca ga bisa?
Nurlela,5,good. use easy
Inayah Nurjanah,5,lovvvv
Diya Gabriel,2,"Registrasi ada bug dan kurang responsif. Kemudian pendaftaran terbilang rumit krn buka rekening harus vc, bikin surat keterangan, harus ke bank langsung, padahal buka bank digital tp proses sngt manual ketimbang bank lain yg udh gesit spt seabnk superbnk dll Krn direkom tunda buka krn syarat diatas yg sy rasa lebih baik pakai bank digital lain drpd rempong ngurusnya yasudah langsung auto uninstall Mungkin one day sistemnya lebih bagus kalau download n memuaskan ganti rate lagi 🙏"
Beatho Raynhard,1,kode verivikasi tidak ada dan padahal udh no nya udh bener
kiky yudiansyah,5,membantu kebutuhan digital saya. tolong kuota untuk tarik dan setor tunai di bnyakin lg
Ismail Nur,4,Sudah lumayan lancar. Buat lebih lancar lagi. App mbanking/ e wallet lain aja bisa lebih lancar.
Deni Aqila,4,"oke oke aja selama aku pakai, memudahkan. koreksinya cuma aplikasinya sedikit lelet atau berat banget, aku pakai di samsung A72 kadang aplikasinya ngebug, bisa kali di ringanin lagi biar gak berat"
Ayu Tokk,1,Terlanjur beli Pulsa Untuk Verifikasi Pinjaman Extrachass Ternyata Gak DI ACC.. Ngapain di munculkan di menu portofolio kalau tidak di acc.!!! Annnyikk
muhammad firman taqwa,5,Aplikasi Blu cukup Baik. Semoga kedepannya di perbaiki kekurangan nya. Dan Semoga BCA atau BCA Blu Lebih Maju lagi kedepannya.
moch Ibnu hajar al askolan,3,topup shopee pay diilangin padahal ngebantu banget
Ho Paulina,5,Lancar
Vera Vera,5,Mantap
Ferdi,1,"aplikasi terlalu beresiko cuma ngandelin nomor hp. kalau sampai hp hilang sulit untuk login, padahal udah menggunakan email tpi cuma bisa login via nomor hp"
Tika Oktaviani,3,"Aplikasi ini susah tuk login,,,hrs bbrp x coba br bisa trus ketika mau login Lg GK bisa LG,,,lemot"
Indrawan Sinsin,5,Selamat malam kenapa bca blu gak bisa dibuka terima kasih
Alin Sumekar,5,keren bgt blueee love uu ttp bebas admin aku gak akan pindah ke lain hati heheheh
Rayhan Fadilah,5,luar biasa membantu
Agung Gunawan,5,halo untuk pembayaran shopee di tiadakan ya?
Tiara Putri,1,"tiap mau top up shopee pay selalu gabisa, tolong dong dibenerin aplikasinya, jangan yang dikit² error, saya udah lama pake blubca gitu mulu kendalanya"
St. Destructor,4,"App Blu sebenernya udah bagus, tapi ga tau kenapa sekarang ga bisa top up E-Money Shopee Pay, padahal dulu udah enak, top up E-Money di Blu pilihannya banyak, bisa ovo, gopay, linkaja, dana, terus dapet update shopee pay masuk jadi makin variatif. Ga tau kenapa sekarang hilang"
Andri Nawawi,5,Tolong Untuk Pembayaran Qrisnya agar bisa menggunakan sistem Bayar
Giri Purnomo,2,Baru mau coba
Pristin Ajeng,3,"Saya suka banget dengan blu BCA. Tapi tolong lebih di tingkatkan lagi dong aplikasinya, masih suka muter muter banget, kirain hp saya yg lemot, udah dipindah ke hp lain ternyata juga sama aja"
Elsye F. Montolalu,5,"Sampai saat ini pake apk Blu BCA, ga ada kendala sih. Semua aman. transaksi lancar. transfer lancar. Semoga amanah selalu :)"
TOMI SUTRISNO,5,mantap
Mika Lehana,4,"udah bagus, tapi sayang sekali aplikasinya sangat lamban saat dibuka, padahal saya sudah sengaja pakai fitur shortcut terutama pada fitur Qris, eh tetep lamban😭 please di develop lagi ya biar gak lemot🙏🏼"
Skyzo dot,4,"untuk proses pengenalan wajah ga bisa bisa padahal hp ga goyang, tolong diperbaiki!"
Satara Driver,5,"semoga pinjaman di setujui sudah 2 minggu tidak bekerja, akan kembali bekerja sebelum lebaran. dana pinjaman ini sangat berguna bagi keluarga saya. Terima kasih"
Agus Saputra,5,"Sebenernya aplikasi blu udh bagus cmn sayang'y msh ngelag klu mau log in dan melakukan aktifitas lain msh ngelag jga,,mohon untk di tingkatkan lg aplikasi blu'y,terimakasih,"
widiya adi,2,saya sudah registrasi mbanking pake no.hp kok gagal terus ga bisa masuk
Erna Ernawati,4,Awalnya ada fitur e money shoppe pay ko sekarang gaada ya?
Mohammad Rizky Huda,1,"Gak jelas habis upload ktp suruh vermuk gagal terus, semoga ktp saya tidak di salah gunakan"
Siti Nurzanah,5,bagus
Andi Syachrir Ramadhan,5,Kalau bisa password nya ditambah sedikit variasi untuk keamanan
Jeremy Petra,5,"Aplikasi sudah bagus, dan proses sangat cepat, namun tolong tambahin fitur qris untuk mempermudah dalam proses transaksi, terimakasih😄"
UNREGESTERED channel,5,"sejauh ini lumayan,"
Kakang Riki,1,Apk lemot
Dhany Delio,4,Tolong tambahin fitur QRIS tidak hanya scan saja tapi juga untuk memunculkan barcode
Ray,4,Aplikasinya agak berat terus ko shopeepay hilang?
Tiara Sari,1,Pegawainya gak sopan dan tidak komperatif pada saat pendaftaran
GUS TO,5,good
Suta CbR,5,semkin peraktis pake blu bca
adit prtama,5,tolong hapus data saya saya ga jadi pengajuan pinjaman kak mohoj saya lepas tnggung jawab
Budi Budi,3,"Bener"" lelet aplikasi nya, bukan jadi satset malah ribet kebanyakan loading, hadeh ribet dah intinya. Mau secanggih dan secepat apapun jaringannya tetep aja lelet dan lambat jadinya"
Ratno Pratomo,1,"Mau transfer ke Shopee pay sekarang udh gak bisa , fiturnya di hilangkan kecewa , uninstal aja lah"
Dimas Anton Setiawan,5,"Mantap dah pokoknya pakai Blu, sangat membantu sekali, Thanks"
Ferrenza Ergiansyah,3,Apakah ada alasan kenapa bca virtual account berbeda dengan mBCA saat transaksi tidak valid terus tetapi kalau di mbca bisa kebaca?
secret number,1,"Tolong donk buat semua pemrogram (front to end), ini aplikasi berat banget. Di hp saya ga kebuka-buka ini apps dari pagi sampai sore jadi unconvenient banget."
Únan Ryandrá (Braga` Nagaa),5,"ini apps keren banget sih, gak bakal ke ganggu sama orang2 yang sering nyuruh2 beli ini beli itu... thank'bree"
Alastor Alastor,5,HP saya ilang semalam mau login ke apk blu by bca digital ga bisa harus pake nomor SIM sedangkan HP saya ilang mohon kasih tau caranya ke saya admin soalnya di situ ada gaji saya 🙏
Danivivi Vita19,5,"aplikasi nya bagus,tapi tolong di benar kan lagi, karna saya ingin masuk ke dalam aplikasi nya tidak bisa karna masalah jaringan, padahal jaringan saya bagus bagus saja tidak bermasalah,jadi Saya minta tolong untuk di benar kan lagi aplikasi nya"
Gulali Jawa,1,"Gimana ini setelah update aplikasinya ga bisa dibuka, mau ngambil uang ga bisa, kartu jg ga ada aduuhh makin jelek aj aplikasi jd males simpan uang di aplikasi ini, ada keperluan mendesak ga bisa dibuka aplikasinya"
fajar baretto,1,Kembalikan top up shopepay!!!
Heri GamerZ卐,5,"sudah cukup untuk kebutuhan nabung dan transaksi sehari-hari, dan juga kartu debit virtual ini sangat membantu untuk belanja online 😚"
Ramadhani Wisnu Habibullah,5,apk nya di buat ringan aja dong kaya mbanking nya BCA biar fungsinya ga lambat atau delay lama waktu mau bayar nungguin animasinya lama banget sampai antri 😔🙏
Eva simangunsong,5,"kok bku BCA ku , minta masukin no handphone dah saya masukin no hp , tapi gak dikirim2 otpnya apa karna hari Minggu ? jadi gak dikirim otpny knp bisa begitu"
Misnawati Dewi,5,keren
Anan Rusmana,5,blu digital bca mantaap lach
Cece Cici,1,"sekarang sesama BCA jadi ada admin nya ga recommend👎🏻 nasabah udah happy sesama BCA tanpa admin membantu transfer, terus buat apa bikin BLU BCA DIGITAL. KARTU BLU BCA aku coba cek saldo lewat ATM BCA bukan aplikasi (BAYAR ADMIN 2.000) Kok Lucu banget. SEMUA AJA DI KASIH ADMIN BUAT APA KARTU BLU BCA beli 50.000 GA BISA BUAT SETOR & TARIK TUNAI !"
Zaink Innocence,2,aplikasi berat min 😭
Nandes Ka,1,"nyesel naruh duit disini. udh apk lemot, banyak pop up yg gk bisa di ilangin, tf jadi lama yg harusnya sat set ini 1 jam gk kelar-kelar. anj emang. auto pindah semua"
Kanaria __,5,"Aplikasi sudah bagus, buka rekening baru simpel banget, potongan bank minim, promo banyak, cuma menurut saya ada 1 kekurangan, ketika mau isi Saldo Dana, tidak muncul Nama penerima saldo dana, seharusnya biar mempermudah pengirim untuk mengidentifikasi saldo penerima dana, harusnya nama penerima muncul saat sudah memasukan nomor penerima, seperti di aplikasi bank sebelah. Semoga cepat ditingkatkan"
Edukasi Asuransi,3,"kenapa sekarang makin sering gangguan ini aplikasi, beberapa kali transaksi qris sering gagal. dan pengembalian dananya lama. untuk transfer virtual akun ga support untuk ke beberapa marketplace, atau ke beberapa dompet digital. mulai mikir balik ke BCA konven aja ini"
rama jaya,5,keren dan sangat mudah di gunakan mantap Blu
iyoes tsp,4,"lumayan bagus fitur-fitur transaksinya, mendukung bebas admin transfer"
Ahmad Fahmy Ghifariel Akbar,4,"aplikasi nya baik, cuman animasi setiap halaman nya cukup lama dan itu mengganggu"
Sandi Asoka,5,bagus
muhamad tri panunggal,5,terbaik
Adev My,2,"ini aplikasi berat banget sumpah kayak aplikasi benchmark, tlong sekelas BCA optimalkan lgi app nya"
Abdul azis Gunawan,5,keren bgt🔥🔥🔥
SUWARTONO TONO,5,Digital blu accaunt bagus
Oki Kcn,1,Jangan pake aplikasinya Minta refund aja susahnya minta ampun
Welly Clubbers,5,"Fitur sudah bagus memudahkan utk buka rek baru maupun transaksi, tapi utk setor tunai maupun terima dana kena biaya admin apalagi dari sesama BCA maupun pembelian secara online kena biaya admin lumayan gede. Mungkin ada inovasi lagi utk bank digital dgn promo bebas admin atau diskon biaya admin.. Trimks"
Vania Joey Kaylyn,5,aplikasinya sudah sangat baguss apalagi bisa buat pocket pocket untuk tabungan. bs di pisah pisah gitu uang tabungan nya. tapi disini fitur untuk top up shopee pay suka hilang. jadi tolong di beneri supaya fitur nya ada terus/permanen
Hanan Mashuri,1,Kedepannya login aplikasi maupun transaksi lebih cepat terus perbaiki sistemnya..
Ulfah Nurwanti,3,"aplikasi terasa berat, terkadang force closed."
Almacinta 0404,1,"saya ingin membuka a pk blue tapi lemot bngett sudah berkali"" di buka sama saja"
zahirah mahdiah,1,rese verifikasi mukanya susah
Jahrawi Jahrawi,4,kalo dapet nanti saya kasi 5
Emy Kamariah,5,screenlock hhe
Jamjam Edi,5,cepatt
Adrian Novigasa,5,muantaaaaap
rahayu norma,4,"sudah bagus, cuma kenapa ada biaya admin kalo mau isi dana dari m-banking BCA ke blu BCA"
CaeZzar Alfatih,3,sepi promo
Budiyanto hp,2,responnya kurang greget pengajuan sll gagal total dr pertama buka
Alga Agus Kurnia,5,sulit banget
Medy Pratama,3,untuk verifikasi wajah selalu gagal padahal hp tidak bergoyang tolong di perbaiki
Fransah Irawan,1,bagi pengguna blu saran jgn di pakai buat top up flazz... kapoksaya saldo sudah terpotong saldo flazz gk masuk mana proses pengembalian lamaaaaaaa
labitolo coy,5,mantul coy
Abdullah Masyaid,3,untuk sebagian orang mungkin akan terganggu ketika mau masuk akun rekening blu by BCA Digital. dengan loading tampilan awal yang cukup agak lama dan harus melewati mode highlight di lanjutkan loading tampilan kedua. hingga mencapai keamanan kunci login aplikasi. tidak seperti bank digital dari seabank yang bisa langsung menuju keamanan kunci login aplikasi.
Putra Surya,5,saya suka pakai blu untuk transaksi
Nila Asmara,2,saya nasabah BCA sdh lama. dan sangat sering bertransaksi pakai BCA.Tapi kmrn waktu mengajukan pinjaman di blu. verifikasi nya sangat lama dan selalu di tolak dengan alasan tidak sesuai kriteria untuk meminjam di blu. dan sekarang mau saya hapus aplikasi blu. karena sangat tidak bermanfaat. trimakasih
Eric Christopher Jacinto Husin,1,"Pengajuan pinjaman ditolak padahal nggak ada masalah BI Checking, apalagi terlalu lama utk pengajuan kembali 90 hari"
Agus Winarno,4,"Tolong aplikasi nya di buat lebih smooth, lebih responsif, tidak berat untuk menggunakan aplikasinya Kasihan orang yg ingin menggunakan aplikasi blu, tapi device nya kurang memadai"
Ahmad Ismail Al Masykuri,1,buat topup shopeepay udah gabisa
Tiara utami Julianty,1,saya udh daftar tpi sampe sekarang beluman di ACC sama adminnya padahal udh 2 hari yg lalu daftarin akunnya
Kylie Lourenza,1,"mau verifikasi muka susah sekali, padahal akun sendiri, muka sendiripun susah, padahal tidak pakai masker, posisi dibawah lampu terang benderang, hp tidak goyang, orangnya juga tidak goyang, masih belum bisa dibilang gelap, memang hp saya jadul, jadi kamera depan standar tidak bagus bersih, masa harus beli hp baru untuk masuk nya, GILAAA semua syarat sudah di ikutin, cuma masalahnya kamera depan krn hp android lama jadi jelek"
Anjeli Putri,3,ini knp mau transaksi beli telegram premium fee biaya admin nya gede kali padahal di tele nya 47.900 ko jadi 70k bnyk kali
heri susanto,5,sangat membantu
Hafiedz Yudha,2,"saat awal mulai pakai, sangat membantu sekali untuk penyimpanan alternatif selain di rekening BCA utama. karena untuk transfer dari Rekening BCA ke Blu tidak di kenakan biaya. tetapi setelah Blu memutuskan untuk menetapkan tarif normal pertransaksi, saya sangat kecewa sekali."
Mucky Pramanasidi,5,blue ok banget deh 😁👍❤️❤️❤️
Rere 23,4,bagus banget apk nya. dulu sering lemot mungkin karena RAM hp ku kepenuhan tp sekarang Alhamdulillah lancarrr APK nya Semoga rejeki nya juga hehe Amiinnn. trus enak nya di APK ini tuh bisa di pisah pisah uang nya
Noval Eka Wahyuda,5,Aplikasi yang sangat membantu untuk menabung
Adhy Mara,1,NOT RECOMMENDED......
Qian Fiorenza,5,sangat suka sekali pakai aplikasi blu bca ini
Nurfan Cahya Adi,1,"UANG SAYA HILANG DI BLU 11 JUTA, HATI2 YANG MENGGUNAKAN BLU"
Aisya Dyva,3,"sebenernya bagus tp login saya ga bisa2 .. bahkan masuk ke nomor ponsel saja belum mendapatkan kode otp sampai d alihkan ke wa. kalaupun berkaitan dg nomor hp, nomor masih aktif dan ada pulsanya.. 🙏🏻"
